venterra_property,competitor_name,competitor_rank,sheet_name
The Maddox,The Rey on Reynolds,3,The_Maddox_Market
The Maddox,Paramont,4,The_Maddox_Market
The Maddox,Summit Station at Duluth,5,The_Maddox_Market
The Maddox,The Columns at Club Drive,6,The_Maddox_Market
The Maddox,Bridgewater,7,The_Maddox_Market
The Maddox,Avonlea Pointe,8,The_Maddox_Market
The Maddox,Avana Portico,9,The_Maddox_Market
The Metropolitan,Cypress Pointe,1,The_Metropolitan_Market
The Metropolitan,Waterford Place,2,The_Metropolitan_Market
The Metropolitan,The Marc,3,The_Metropolitan_Market
The Metropolitan,Jamestown At St. Matthews Apartment Homes,4,The_Metropolitan_Market
The Metropolitan,Mallard Crossing At St. Matthews,5,The_Metropolitan_Market
The Metropolitan,Breckinridge Square,6,The_Metropolitan_Market
The Metropolitan,Enclave At Breckenridge By ARIUM,7,The_Metropolitan_Market
The Metropolitan,The Belltower,8,The_Metropolitan_Market
Parker,Villas at Stonebridge,1,The_Parker_Market
Parker,Fountain Lake,2,The_Parker_Market
Parker,Spring Creek Of Edmond Apartments,3,The_Parker_Market
The Phoenix,The Henderson,1,The_Phoenix_Market
The Phoenix,Skyview at Crawford,2,The_Phoenix_Market
The Phoenix,The Drake on Summit,3,The_Phoenix_Market
The Phoenix,Bottle House on Main,4,The_Phoenix_Market
The Phoenix,Montage Southside,5,The_Phoenix_Market
The Phoenix,The Cooper Apartments,6,The_Phoenix_Market
The Phoenix,Willow & Wise,7,The_Phoenix_Market
The Phoenix,South 400,8,The_Phoenix_Market
The Phoenix,Broadway Chapter,9,The_Phoenix_Market
The Pointe Bentonville,Trulo Homes Tara Ridge,1,The_Pointe_Bentonville_Market
The Pointe Bentonville,Sullivan Square Apartments,2,The_Pointe_Bentonville_Market
The Pointe Bentonville,49 West,3,The_Pointe_Bentonville_Market
The Pointe Bentonville,Parc at Rogers,4,The_Pointe_Bentonville_Market
The Pointe Bentonville,Dodson Pointe Apartment Homes,5,The_Pointe_Bentonville_Market
The Pointe Bentonville,Stone Manor Apartments,6,The_Pointe_Bentonville_Market
The Pointe Bentonville,Crystal Flats,7,The_Pointe_Bentonville_Market
The Reserves Of Thomas Glen,Tanyard Park,1,The_Reserves_Of_Thomas_Glen_Mar
The Reserves Of Thomas Glen,Southgate Landing,2,The_Reserves_Of_Thomas_Glen_Mar
The Reserves Of Thomas Glen,11602 Apex View Drive,3,The_Reserves_Of_Thomas_Glen_Mar
The Reserves Of Thomas Glen,The Willard at Preston Crossing,4,The_Reserves_Of_Thomas_Glen_Mar
The Reserves Of Thomas Glen,Newtown Woods,5,The_Reserves_Of_Thomas_Glen_Mar
The Reserves Of Thomas Glen,Smyrna Village Apartments of Louisville,6,The_Reserves_Of_Thomas_Glen_Mar
The Retreat at Kedron Village Apartment Homes,Balmoral Village,1,The_Retreat_at_Kedron_Village_A
The Retreat at Kedron Village Apartment Homes,The Greens at Braelinn,2,The_Retreat_at_Kedron_Village_A
The Retreat at Kedron Village Apartment Homes,The Greens at Peachtree City,3,The_Retreat_at_Kedron_Village_A
The Retreat at Kedron Village Apartment Homes,Camden Peachtree City,4,The_Retreat_at_Kedron_Village_A
The Retreat at Kedron Village Apartment Homes,Retreat at Peachtree City,5,The_Retreat_at_Kedron_Village_A
The Retreat at Lakeland,Gibson Oaks,1,The_Retreat_at_Lakeland_Market
The Retreat at Lakeland,Audubon Oaks,2,The_Retreat_at_Lakeland_Market
The Retreat at Lakeland,The Park at Palazzo,3,The_Retreat_at_Lakeland_Market
The Retreat at Lakeland,Loop @ Wedgewood,4,The_Retreat_at_Lakeland_Market
The Retreat at Lakeland,The Preserve At Lakeland Hills Apartments,5,The_Retreat_at_Lakeland_Market
The Retreat at Lakeland,Story Lake Gibson,6,The_Retreat_at_Lakeland_Market
The Retreat at Grand Mission,Cortland Lakemont,1,The_Retreat_GrandMission_Market
The Retreat at Grand Mission,Lakeview At Westpark,2,The_Retreat_GrandMission_Market
The Retreat at Grand Mission,Alleia Long Meadow Farms,3,The_Retreat_GrandMission_Market
The Retreat at Grand Mission,Deseo at Grand Mission,4,The_Retreat_GrandMission_Market
The Retreat at Grand Mission,Haven at Bellaire,5,The_Retreat_GrandMission_Market
The Retreat at Grand Mission,The Waterview,6,The_Retreat_GrandMission_Market
The Retreat at Grand Mission,Echelon On 99,7,The_Retreat_GrandMission_Market
The Townhomes at Lake Park,Kingsley Shadow Creek Ranch,1,The_Townhomes_at_Lake_Park_Mark
The Townhomes at Lake Park,Cortland Luxe Shadow Creek,2,The_Townhomes_at_Lake_Park_Mark
The Townhomes at Lake Park,Cortland Avion Shadow Creek,3,The_Townhomes_at_Lake_Park_Mark
The Townhomes at Lake Park,Sladestone Shadow Creek,4,The_Townhomes_at_Lake_Park_Mark
The Townhomes at Lake Park,The Columns At Shadow Creek Ranch,5,The_Townhomes_at_Lake_Park_Mark
The Townhomes at Lake Park,Radius At Shadow Creek Ranch,6,The_Townhomes_at_Lake_Park_Mark
The Townhomes at Lake Park,Ivy Lofts,7,The_Townhomes_at_Lake_Park_Mark
The Townhomes at Lake Park,Beckett Cottingham,8,The_Townhomes_at_Lake_Park_Mark
The Villages at Oakleaf,The Kensley,1,The_Villages_at_Oakleaf_Market
The Villages at Oakleaf,Addison Landing,2,The_Villages_at_Oakleaf_Market
The Villages at Oakleaf,Ascend Clay Town Center,3,The_Villages_at_Oakleaf_Market
The Villages at Oakleaf,Pointe Grand at Oakleaf,4,The_Villages_at_Oakleaf_Market
The Villages at Oakleaf,Integra Park at Oakleaf Apartment Homes,5,The_Villages_at_Oakleaf_Market
The Villages at Oakleaf,Discovery Trails,6,The_Villages_at_Oakleaf_Market
The Villages at Oakleaf,The Vantage,7,The_Villages_at_Oakleaf_Market
The Villages at Oakleaf,Argyle Lake at Oakleaf Town Center,8,The_Villages_at_Oakleaf_Market
The Villages at Oakleaf,Oakleaf Plantation Apartments,9,The_Villages_at_Oakleaf_Market
The Whitney,Harrison,1,The_Whitney_Market
The Whitney,Calibre Springs,2,The_Whitney_Market
The Whitney,Perimeter Circle,3,The_Whitney_Market
The Whitney,The Stratford,4,The_Whitney_Market
The Whitney,Perimeter 5550,5,The_Whitney_Market
The Whitney,Sirona Apartments,6,The_Whitney_Market
The Whitney,Park At Abernathy Square,7,The_Whitney_Market
The Whitney,Celebration At Sandy Springs,8,The_Whitney_Market
Timberlane Village,Urbane,1,Timberlane_Village_Market
Timberlane Village,Clearview,2,Timberlane_Village_Market
Timberlane Village,Arbors Of Grandview,3,Timberlane_Village_Market
Timberlane Village,Willow Creek Apartments,4,Timberlane_Village_Market
Timberlane Village,The Falls Apartments,5,Timberlane_Village_Market
Timberlane Village,The Falls,6,Timberlane_Village_Market
Timberlane Village,The Reserve At 77,7,Timberlane_Village_Market
Timber Mill,Forest View,1,Timber_Mill_Market
Timber Mill,Modera Six Pines,2,Timber_Mill_Market
Timber Mill,Rayfords Edge Apartments,3,Timber_Mill_Market
Timber Mill,Woodwind Village Apartments,4,Timber_Mill_Market
Timber Mill,Green Tree Place,5,Timber_Mill_Market
Timber Mill,Lexington,6,Timber_Mill_Market
Timber Mill,Alexander,7,Timber_Mill_Market
Tomoka Pointe,Madison Pointe,1,Tomoka_Pointe_Market
Tomoka Pointe,The Edison,2,Tomoka_Pointe_Market
Tomoka Pointe,Sands Parc,3,Tomoka_Pointe_Market
Tomoka Pointe,Atlantica at Daytona,4,Tomoka_Pointe_Market
Tomoka Pointe,500 East,5,Tomoka_Pointe_Market
Tomoka Pointe,The Bradley Daytona,6,Tomoka_Pointe_Market
Tomoka Pointe,Sanctuary at Daytona,7,Tomoka_Pointe_Market
Tomoka Pointe,Integra Village at Tymber Creek,8,Tomoka_Pointe_Market
Tomoka Pointe,Icon One Daytona,9,Tomoka_Pointe_Market
Tomoka Pointe,The Napier,10,Tomoka_Pointe_Market
Tomoka Pointe,Drift Luxury Apartment Homes,11,Tomoka_Pointe_Market
Tomoka Pointe,Drift Luxury Apartment Homes.1,12,Tomoka_Pointe_Market
Town Station,Preston Ridge,1,Town_Station_Market
Town Station,Bainbridge Cary,2,Town_Station_Market
Town Station,Bell Preston,3,Town_Station_Market
Town Station,Cary Greens at Preston,4,Town_Station_Market
Town Station,MAA 900 Waterford,5,Town_Station_Market
Town Station,Town Station Lofts,6,Town_Station_Market
Tree Park,53 West,1,Tree_Park_Market
Tree Park,Walden At Oakwood,2,Tree_Park_Market
Tree Park,Advenir at Flowery Branch,3,Tree_Park_Market
Tree Park,The Laurel at Flowery Branch,4,Tree_Park_Market
Tree Park,Folksong Apartments,5,Tree_Park_Market
Tree Park,Gibson Flowery Branch,6,Tree_Park_Market
Trevesta Place Apartments,The Stafford at Artisan Lakes,1,Trevesta_Place_Market
Trevesta Place Apartments,Aria Bradenton,2,Trevesta_Place_Market
Trevesta Place Apartments,Preserve at Riverwalk,3,Trevesta_Place_Market
Trevesta Place Apartments,ShoreView,4,Trevesta_Place_Market
Trevesta Place Apartments,Blue Heron Living,5,Trevesta_Place_Market
Trevesta Place Apartments,Blue Heron Creek,6,Trevesta_Place_Market
Trevesta Place Apartments,Cantabria,7,Trevesta_Place_Market
Trevesta Place Apartments,Palm Grove Luxury Apartments,8,Trevesta_Place_Market
Trevesta Place Apartments,Yardly Artisan Lakes,9,Trevesta_Place_Market
Trevesta Place Apartments,Gateway Commons Apartments,10,Trevesta_Place_Market
Tuscany at Lindbergh,Avana on Main,1,Tuscany_at_Lindbergh_Market
Tuscany at Lindbergh,ibex at Uptown,2,Tuscany_at_Lindbergh_Market
Tuscany at Lindbergh,Sorelle,3,Tuscany_at_Lindbergh_Market
Tuscany at Lindbergh,AMLI Lindbergh,4,Tuscany_at_Lindbergh_Market
Tuscany at Lindbergh,Willowest in Lindbergh,5,Tuscany_at_Lindbergh_Market
Tuscany at Lindbergh,AMLI Piedmont Heights,6,Tuscany_at_Lindbergh_Market
Ventana,Boardwalk Research,1,Ventana_Market
Ventana,Cortland at Fredericksburg,2,Ventana_Market
Ventana,The Jax Apartments,3,Ventana_Market
Ventana,Reserve at Canyon Creek,4,Ventana_Market
Ventana,The Village of Hampton Cove,5,Ventana_Market
Ventana,Vance at Huebner Oaks,6,Ventana_Market
Ventana,The Mark Huebner Oaks,7,Ventana_Market
Venue at Hometown,Cavalli At Iron Horse Station,1,Venue_at_Hometown_Market
Venue at Hometown,The Delano At North Richland Hills Apartments,2,Venue_at_Hometown_Market
Venue at Hometown,26 At City Point,3,Venue_at_Hometown_Market
Venue at Hometown,Enclave At Hometown,4,Venue_at_Hometown_Market
Venue at Hometown,Encore at Home Town,5,Venue_at_Hometown_Market
Venue at Hometown,Sovereign Hometown,6,Venue_at_Hometown_Market
Villas at Newnan Crossing,Creekside at White Oak,1,Villas_at_Newnan_Crossing_Repor
Villas at Newnan Crossing,Promenade At Newnan Crossing,2,Villas_at_Newnan_Crossing_Repor
Villas at Newnan Crossing,Alta Ashley Park,3,Villas_at_Newnan_Crossing_Repor
Villas at Newnan Crossing,Willows at Ashley Park,4,Villas_at_Newnan_Crossing_Repor
Villas at Newnan Crossing,The Willows Ashley Park,5,Villas_at_Newnan_Crossing_Repor
Villas at Newnan Crossing,Jefferson Point,6,Villas_at_Newnan_Crossing_Repor
Villas at Newnan Crossing,Lullwater At Calumet,7,Villas_at_Newnan_Crossing_Repor
Villas at Newnan Crossing,Stillwood Farms,8,Villas_at_Newnan_Crossing_Repor
Villas at Newnan Crossing,Camden Peachtree City,9,Villas_at_Newnan_Crossing_Repor
Villas Continental,Park Village Apartments,1,Villas_Continental_Report
Villas Continental,Kingsley Woods,2,Villas_Continental_Report
Villas Continental,Retreat at Orange Park,3,Villas_Continental_Report
Villas Continental,Reserve at Orange Park,4,Villas_Continental_Report
Villas Continental,Exchange at Orange Park,5,Villas_Continental_Report
Villas Continental,Collins Preserve,6,Villas_Continental_Report
Villas Continental,Cobblestone at Eagle Harbor,7,Villas_Continental_Report
Villas Continental,Windsor Arms Apartments,8,Villas_Continental_Report
Villas Continental,Prospect Heights,9,Villas_Continental_Report
Villa Lago,Neuhaus Lake Worth,1,Villa_Lago_Market
Villa Lago,Longhorn Crossing,2,Villa_Lago_Market
Villa Lago,Grand at Saginaw,3,Villa_Lago_Market
Villa Lago,The Legends At Eagle Mountain Lake,4,Villa_Lago_Market
Villa Lago,Avilla Boat Club,5,Villa_Lago_Market
Villa Lago,Eagle's Point Apartments,6,Villa_Lago_Market
Vinings,Stafford Run,1,Vinings_Market
Vinings,MAA Kirkwood,2,Vinings_Market
Vinings,Lakeland Estates Apartments,3,Vinings_Market
Vinings,Preserve at Colony Lakes,4,Vinings_Market
Vinings,Silverbrooke,5,Vinings_Market
Vinings,Shadowbrooke,6,Vinings_Market
Westover Oaks,Legacy Creekside Apartments,1,Westover_Oaks_Market
Westover Oaks,Oxford at Estonia,2,Westover_Oaks_Market
Westover Oaks,Prose Westover Hills,3,Westover_Oaks_Market
Westover Oaks,Pecos Flats Apartments,4,Westover_Oaks_Market
Westover Oaks,Dalian Monterrey Village,5,Westover_Oaks_Market
Westover Oaks,Slate Creek At Westover Hills,6,Westover_Oaks_Market
West 46th Apartments,Sterling Nashville West,1,West_46th_Apartments_Market
West 46th Apartments,Camden West Nashville,2,West_46th_Apartments_Market
West 46th Apartments,MAA Acklen,3,West_46th_Apartments_Market
West 46th Apartments,2700 Charlotte Ave Apartments,4,West_46th_Apartments_Market
West 46th Apartments,The Union,5,West_46th_Apartments_Market
West 46th Apartments,Bexley Silo Bend,6,West_46th_Apartments_Market
West 46th Apartments,Cortland at the Nations,7,West_46th_Apartments_Market
West 46th Apartments,Rye Charlotte Ave,8,West_46th_Apartments_Market
West 46th Apartments,Station 40,9,West_46th_Apartments_Market
West 46th Apartments,The Reeve,10,West_46th_Apartments_Market
Zang Triangle,Urban House,1,Zang_Triangle_Market
Zang Triangle,The Bohéme,2,Zang_Triangle_Market
Zang Triangle,Oaks Trinity,3,Zang_Triangle_Market
Zang Triangle,Archive,4,Zang_Triangle_Market
Zang Triangle,The Beckley on Trinity,5,Zang_Triangle_Market
Zang Triangle,Oakhouse,6,Zang_Triangle_Market
Zang Triangle,Banyan Flats,7,Zang_Triangle_Market
Zang Triangle,Vance at Bishop Union,8,Zang_Triangle_Market
